Product,Price,Quantity
Cartão de Presente (Bronze),"13,965.400","1,713"
Pacote de Gemas Arcanas (200),905.860,651
Kit de Destreinamento de Pet - Opção (x5),715.900,39
Transferência de Conta,685.250,66
Booster de Nível - 30 dias,558.030,76
Kit de Mudança de Estilo de Luta,540.440,89
Sócio VIP da Yekaterina (30 dias),380.740,170
Kit de Destreinamento de Pet - Opção,336.750,133
Serviço Platina - 30 dias,301.240,83
Pérola Abençoada - Superior(30 dias),298.690,32
Mercenário - Arionell,270.040,17
Serviço Warlord (30 Dias),253.440,37
Talismã do Caos,223.770,200
Transmutador Negro,210.250,80
Prancha Astral K Red - Perm,203.220,10
